PmtDate,PmtNo,OutstandingBal,MthPmt,IntPmt,TotIntPaid,PrincipalPmt,TotPrincipalPaid
2017-05-01,1,758094.94,3292.06,1387.0,1387.0,1905.06,1905.06
2017-06-01,2,756186.41,3292.06,1383.52,2770.52,1908.53,3813.59
2017-07-01,3,754274.4,3292.06,1380.04,4150.56,1912.02,5725.6
2017-08-01,4,752358.89,3292.06,1376.55,5527.11,1915.5,7641.11
2017-09-01,5,750439.89,3292.06,1373.05,6900.17,1919.0,9560.11
2017-10-01,6,748517.39,3292.06,1369.55,8269.72,1922.5,11482.61
2017-11-01,7,746591.38,3292.06,1366.04,9635.77,1926.01,13408.62
2017-12-01,8,744661.85,3292.06,1362.53,10998.3,1929.53,15338.15
2018-01-01,9,742728.8,3292.06,1359.01,12357.3,1933.05,17271.2
2018-02-01,10,740792.23,3292.06,1355.48,13712.78,1936.58,19207.77
2018-03-01,11,738852.12,3292.06,1351.95,15064.73,1940.11,21147.88
2018-04-01,12,736908.47,3292.06,1348.41,16413.13,1943.65,23091.53
2018-05-01,13,734961.27,3292.06,1344.86,17757.99,1947.2,25038.73
2018-06-01,14,733010.52,3292.06,1341.3,19099.3,1950.75,26989.48
2018-07-01,15,731056.21,3292.06,1337.74,20437.04,1954.31,28943.79
2018-08-01,16,729098.33,3292.06,1334.18,21771.22,1957.88,30901.67
2018-09-01,17,727136.88,3292.06,1330.6,23101.82,1961.45,32863.12
2018-10-01,18,725171.85,3292.06,1327.02,24428.85,1965.03,34828.15
2018-11-01,19,723203.23,3292.06,1323.44,25752.29,1968.62,36796.77
2018-12-01,20,721231.02,3292.06,1319.85,27072.13,1972.21,38768.98
2019-01-01,21,719255.21,3292.06,1316.25,28388.38,1975.81,40744.79
2019-02-01,22,717275.8,3292.06,1312.64,29701.02,1979.41,42724.2
2019-03-01,23,715292.77,3292.06,1309.03,31010.05,1983.03,44707.23
2019-04-01,24,713306.13,3292.06,1305.41,32315.46,1986.65,46693.87
2019-05-01,25,711315.86,3292.06,1301.78,33617.24,1990.27,48684.14
2019-06-01,26,709321.95,3292.06,1298.15,34915.39,1993.9,50678.05
2019-07-01,27,707324.41,3292.06,1294.51,36209.9,1997.54,52675.59
2019-08-01,28,705323.22,3292.06,1290.87,37500.77,2001.19,54676.78
2019-09-01,29,703318.38,3292.06,1287.21,38787.99,2004.84,56681.62
2019-10-01,30,701309.88,3292.06,1283.56,40071.54,2008.5,58690.12
2019-11-01,31,699297.71,3292.06,1279.89,41351.43,2012.16,60702.29
2019-12-01,32,697281.88,3292.06,1276.22,42627.65,2015.84,62718.12
2020-01-01,33,695262.36,3292.06,1272.54,43900.19,2019.52,64737.64
2020-02-01,34,693239.16,3292.06,1268.85,45169.05,2023.2,66760.84
2020-03-01,35,691212.27,3292.06,1265.16,46434.21,2026.89,68787.73
2020-04-01,36,689181.67,3292.06,1261.46,47695.67,2030.59,70818.33
2020-05-01,37,687147.37,3292.06,1257.76,48953.43,2034.3,72852.63
2020-06-01,38,685109.36,3292.06,1254.04,50207.47,2038.01,74890.64
2020-07-01,39,683067.63,3292.06,1250.32,51457.79,2041.73,76932.37
2020-08-01,40,681022.17,3292.06,1246.6,52704.39,2045.46,78977.83
2020-09-01,41,678972.98,3292.06,1242.87,53947.26,2049.19,81027.02
2020-10-01,42,676920.06,3292.06,1239.13,55186.38,2052.93,83079.94
2020-11-01,43,674863.38,3292.06,1235.38,56421.76,2056.68,85136.62
2020-12-01,44,672802.95,3292.06,1231.63,57653.39,2060.43,87197.05
2021-01-01,45,670738.76,3292.06,1227.87,58881.25,2064.19,89261.24
2021-02-01,46,668670.8,3292.06,1224.1,60105.35,2067.96,91329.2
2021-03-01,47,666599.07,3292.06,1220.32,61325.68,2071.73,93400.93
2021-04-01,48,664523.56,3292.06,1216.54,62542.22,2075.51,95476.44
2021-05-01,49,662444.26,3292.06,1212.76,63754.97,2079.3,97555.74
2021-06-01,50,660361.16,3292.06,1208.96,64963.94,2083.09,99638.84
2021-07-01,51,658274.27,3292.06,1205.16,66169.09,2086.9,101725.73
2021-08-01,52,656183.56,3292.06,1201.35,67370.45,2090.7,103816.44
2021-09-01,53,654089.04,3292.06,1197.54,68567.98,2094.52,105910.96
2021-10-01,54,651990.7,3292.06,1193.71,69761.69,2098.34,108009.3
2021-11-01,55,649888.53,3292.06,1189.88,70951.58,2102.17,110111.47
2021-12-01,56,647782.52,3292.06,1186.05,72137.62,2106.01,112217.48
2022-01-01,57,645672.67,3292.06,1182.2,73319.83,2109.85,114327.33
2022-02-01,58,643558.96,3292.06,1178.35,74498.18,2113.7,116441.04
2022-03-01,59,641441.4,3292.06,1174.5,75672.67,2117.56,118558.6
2022-04-01,60,639319.98,3292.06,1170.63,76843.3,2121.42,120680.02
2022-05-01,61,637194.68,3292.06,1166.76,78010.06,2125.3,122805.32
2022-06-01,62,635065.51,3292.06,1162.88,79172.94,2129.18,124934.49
2022-07-01,63,632932.45,3292.06,1158.99,80331.94,2133.06,127067.55
2022-08-01,64,630795.49,3292.06,1155.1,81487.04,2136.95,129204.51
2022-09-01,65,628654.64,3292.06,1151.2,82638.24,2140.85,131345.36
2022-10-01,66,626509.88,3292.06,1147.29,83785.54,2144.76,133490.12
2022-11-01,67,624361.2,3292.06,1143.38,84928.92,2148.67,135638.8
2022-12-01,68,622208.61,3292.06,1139.46,86068.38,2152.6,137791.39
2023-01-01,69,620052.08,3292.06,1135.53,87203.91,2156.52,139947.92
2023-02-01,70,617891.62,3292.06,1131.6,88335.5,2160.46,142108.38
2023-03-01,71,615727.22,3292.06,1127.65,89463.15,2164.4,144272.78
2023-04-01,72,613558.86,3292.06,1123.7,90586.86,2168.35,146441.14
2023-05-01,73,611386.55,3292.06,1119.74,91706.6,2172.31,148613.45
2023-06-01,74,609210.28,3292.06,1115.78,92822.38,2176.27,150789.72
2023-07-01,75,607030.03,3292.06,1111.81,93934.19,2180.25,152969.97
2023-08-01,76,604845.81,3292.06,1107.83,95042.02,2184.23,155154.19
2023-09-01,77,602657.59,3292.06,1103.84,96145.86,2188.21,157342.41
2023-10-01,78,600465.39,3292.06,1099.85,97245.71,2192.21,159534.61
2023-11-01,79,598269.18,3292.06,1095.85,98341.56,2196.21,161730.82
2023-12-01,80,596068.97,3292.06,1091.84,99433.4,2200.21,163931.03
2024-01-01,81,593864.74,3292.06,1087.83,100521.23,2204.23,166135.26
2024-02-01,82,591656.49,3292.06,1083.8,101605.03,2208.25,168343.51
2024-03-01,83,589444.2,3292.06,1079.77,102684.81,2212.28,170555.8
2024-04-01,84,587227.88,3292.06,1075.74,103760.54,2216.32,172772.12
2024-05-01,85,585007.52,3292.06,1071.69,104832.23,2220.36,174992.48
2024-06-01,86,582783.1,3292.06,1067.64,105899.87,2224.42,177216.9
2024-07-01,87,580554.63,3292.06,1063.58,106963.45,2228.48,179445.37
2024-08-01,88,578322.08,3292.06,1059.51,108022.96,2232.54,181677.92
2024-09-01,89,576085.47,3292.06,1055.44,109078.4,2236.62,183914.53
2024-10-01,90,573844.77,3292.06,1051.36,110129.76,2240.7,186155.23
2024-11-01,91,571599.98,3292.06,1047.27,111177.02,2244.79,188400.02
2024-12-01,92,569351.09,3292.06,1043.17,112220.19,2248.89,190648.91
2025-01-01,93,567098.1,3292.06,1039.07,113259.26,2252.99,192901.9
2025-02-01,94,564841.0,3292.06,1034.95,114294.21,2257.1,195159.0
2025-03-01,95,562579.78,3292.06,1030.83,115325.05,2261.22,197420.22
2025-04-01,96,560314.43,3292.06,1026.71,116351.76,2265.35,199685.57
2025-05-01,97,558044.95,3292.06,1022.57,117374.33,2269.48,201955.05
2025-06-01,98,555771.33,3292.06,1018.43,118392.76,2273.62,204228.67
2025-07-01,99,553493.56,3292.06,1014.28,119407.04,2277.77,206506.44
2025-08-01,100,551211.63,3292.06,1010.13,120417.17,2281.93,208788.37
2025-09-01,101,548925.53,3292.06,1005.96,121423.13,2286.09,211074.47
2025-10-01,102,546635.27,3292.06,1001.79,122424.92,2290.27,213364.73
2025-11-01,103,544340.82,3292.06,997.61,123422.53,2294.45,215659.18
2025-12-01,104,542042.19,3292.06,993.42,124415.95,2298.63,217957.81
2026-01-01,105,539739.36,3292.06,989.23,125405.18,2302.83,220260.64
2026-02-01,106,537432.33,3292.06,985.02,126390.2,2307.03,222567.67
2026-03-01,107,535121.09,3292.06,980.81,127371.02,2311.24,224878.91
2026-04-01,108,532805.63,3292.06,976.6,128347.61,2315.46,227194.37
2026-05-01,109,530485.94,3292.06,972.37,129319.98,2319.69,229514.06
2026-06-01,110,528162.02,3292.06,968.14,130288.12,2323.92,231837.98
2026-07-01,111,525833.86,3292.06,963.9,131252.02,2328.16,234166.14
2026-08-01,112,523501.45,3292.06,959.65,132211.66,2332.41,236498.55
2026-09-01,113,521164.79,3292.06,955.39,133167.05,2336.67,238835.21
2026-10-01,114,518823.86,3292.06,951.13,134118.18,2340.93,241176.14
2026-11-01,115,516478.66,3292.06,946.85,135065.03,2345.2,243521.34
2026-12-01,116,514129.17,3292.06,942.57,136007.61,2349.48,245870.83
2027-01-01,117,511775.41,3292.06,938.29,136945.89,2353.77,248224.59
2027-02-01,118,509417.34,3292.06,933.99,137879.88,2358.07,250582.66
2027-03-01,119,507054.97,3292.06,929.69,138809.57,2362.37,252945.03
2027-04-01,120,504688.29,3292.06,925.38,139734.94,2366.68,255311.71
2027-05-01,121,502317.29,3292.06,921.06,140656.0,2371.0,257682.71
2027-06-01,122,499941.97,3292.06,916.73,141572.73,2375.33,260058.03
2027-07-01,123,497562.3,3292.06,912.39,142485.12,2379.66,262437.7
2027-08-01,124,495178.3,3292.06,908.05,143393.17,2384.0,264821.7
2027-09-01,125,492789.94,3292.06,903.7,144296.87,2388.36,267210.06
2027-10-01,126,490397.23,3292.06,899.34,145196.22,2392.71,269602.77
2027-11-01,127,488000.15,3292.06,894.97,146091.19,2397.08,271999.85
2027-12-01,128,485598.7,3292.06,890.6,146981.79,2401.46,274401.3
2028-01-01,129,483192.86,3292.06,886.22,147868.01,2405.84,276807.14
2028-02-01,130,480782.63,3292.06,881.83,148749.84,2410.23,279217.37
2028-03-01,131,478368.0,3292.06,877.43,149627.26,2414.63,281632.0
2028-04-01,132,475948.97,3292.06,873.02,150500.29,2419.03,284051.03
2028-05-01,133,473525.52,3292.06,868.61,151368.89,2423.45,286474.48
2028-06-01,134,471097.65,3292.06,864.18,152233.08,2427.87,288902.35
2028-07-01,135,468665.35,3292.06,859.75,153092.83,2432.3,291334.65
2028-08-01,136,466228.6,3292.06,855.31,153948.14,2436.74,293771.4
2028-09-01,137,463787.42,3292.06,850.87,154799.01,2441.19,296212.58
2028-10-01,138,461341.77,3292.06,846.41,155645.42,2445.64,298658.23
2028-11-01,139,458891.67,3292.06,841.95,156487.37,2450.11,301108.33
2028-12-01,140,456437.09,3292.06,837.48,157324.85,2454.58,303562.91
2029-01-01,141,453978.03,3292.06,833.0,158157.85,2459.06,306021.97
2029-02-01,142,451514.48,3292.06,828.51,158986.36,2463.55,308485.52
2029-03-01,143,449046.44,3292.06,824.01,159810.37,2468.04,310953.56
2029-04-01,144,446573.9,3292.06,819.51,160629.88,2472.55,313426.1
2029-05-01,145,444096.84,3292.06,815.0,161444.88,2477.06,315903.16
2029-06-01,146,441615.26,3292.06,810.48,162255.35,2481.58,318384.74
2029-07-01,147,439129.15,3292.06,805.95,163061.3,2486.11,320870.85
2029-08-01,148,436638.51,3292.06,801.41,163862.71,2490.64,323361.49
2029-09-01,149,434143.32,3292.06,796.87,164659.58,2495.19,325856.68
2029-10-01,150,431643.57,3292.06,792.31,165451.89,2499.74,328356.43
2029-11-01,151,429139.27,3292.06,787.75,166239.64,2504.31,330860.73
2029-12-01,152,426630.39,3292.06,783.18,167022.82,2508.88,333369.61
2030-01-01,153,424116.94,3292.06,778.6,167801.42,2513.45,335883.06
2030-02-01,154,421598.9,3292.06,774.01,168575.43,2518.04,338401.1
2030-03-01,155,419076.26,3292.06,769.42,169344.85,2522.64,340923.74
2030-04-01,156,416549.02,3292.06,764.81,170109.66,2527.24,343450.98
2030-05-01,157,414017.16,3292.06,760.2,170869.87,2531.85,345982.84
2030-06-01,158,411480.69,3292.06,755.58,171625.45,2536.47,348519.31
2030-07-01,159,408939.59,3292.06,750.95,172376.4,2541.1,351060.41
2030-08-01,160,406393.85,3292.06,746.31,173122.72,2545.74,353606.15
2030-09-01,161,403843.46,3292.06,741.67,173864.38,2550.39,356156.54
2030-10-01,162,401288.42,3292.06,737.01,174601.4,2555.04,358711.58
2030-11-01,163,398728.71,3292.06,732.35,175333.75,2559.7,361271.29
2030-12-01,164,396164.34,3292.06,727.68,176061.43,2564.38,363835.66
2031-01-01,165,393595.28,3292.06,723.0,176784.43,2569.06,366404.72
2031-02-01,166,391021.54,3292.06,718.31,177502.74,2573.74,368978.46
2031-03-01,167,388443.1,3292.06,713.61,178216.36,2578.44,371556.9
2031-04-01,168,385859.95,3292.06,708.91,178925.26,2583.15,374140.05
2031-05-01,169,383272.09,3292.06,704.19,179629.46,2587.86,376727.91
2031-06-01,170,380679.51,3292.06,699.47,180328.93,2592.58,379320.49
2031-07-01,171,378082.19,3292.06,694.74,181023.67,2597.32,381917.81
2031-08-01,172,375480.13,3292.06,690.0,181713.67,2602.06,384519.87
2031-09-01,173,372873.33,3292.06,685.25,182398.92,2606.8,387126.67
2031-10-01,174,370261.77,3292.06,680.49,183079.41,2611.56,389738.23
2031-11-01,175,367645.44,3292.06,675.73,183755.14,2616.33,392354.56
2031-12-01,176,365024.34,3292.06,670.95,184426.1,2621.1,394975.66
2032-01-01,177,362398.45,3292.06,666.17,185092.27,2625.89,397601.55
2032-02-01,178,359767.77,3292.06,661.38,185753.64,2630.68,400232.23
2032-03-01,179,357132.29,3292.06,656.58,186410.22,2635.48,402867.71
2032-04-01,180,354492.01,3292.06,651.77,187061.98,2640.29,405507.99
2032-05-01,181,351846.9,3292.06,646.95,187708.93,2645.11,408153.1
2032-06-01,182,349196.96,3292.06,642.12,188351.05,2649.93,410803.04
2032-07-01,183,346542.19,3292.06,637.28,188988.34,2654.77,413457.81
2032-08-01,184,343882.58,3292.06,632.44,189620.78,2659.62,416117.42
2032-09-01,185,341218.11,3292.06,627.59,190248.36,2664.47,418781.89
2032-10-01,186,338548.77,3292.06,622.72,190871.09,2669.33,421451.23
2032-11-01,187,335874.57,3292.06,617.85,191488.94,2674.2,424125.43
2032-12-01,188,333195.49,3292.06,612.97,192101.91,2679.08,426804.51
2033-01-01,189,330511.51,3292.06,608.08,192709.99,2683.97,429488.49
2033-02-01,190,327822.64,3292.06,603.18,193313.17,2688.87,432177.36
2033-03-01,191,325128.86,3292.06,598.28,193911.45,2693.78,434871.14
2033-04-01,192,322430.17,3292.06,593.36,194504.81,2698.7,437569.83
2033-05-01,193,319726.55,3292.06,588.44,195093.25,2703.62,440273.45
2033-06-01,194,317017.99,3292.06,583.5,195676.75,2708.55,442982.01
2033-07-01,195,314304.49,3292.06,578.56,196255.3,2713.5,445695.51
2033-08-01,196,311586.04,3292.06,573.61,196828.91,2718.45,448413.96
2033-09-01,197,308862.63,3292.06,568.64,197397.55,2723.41,451137.37
2033-10-01,198,306134.25,3292.06,563.67,197961.23,2728.38,453865.75
2033-11-01,199,303400.89,3292.06,558.7,198519.92,2733.36,456599.11
2033-12-01,200,300662.54,3292.06,553.71,199073.63,2738.35,459337.46
2034-01-01,201,297919.2,3292.06,548.71,199622.34,2743.35,462080.8
2034-02-01,202,295170.84,3292.06,543.7,200166.04,2748.35,464829.16
2034-03-01,203,292417.47,3292.06,538.69,200704.73,2753.37,467582.53
2034-04-01,204,289659.08,3292.06,533.66,201238.39,2758.39,470340.92
2034-05-01,205,286895.65,3292.06,528.63,201767.02,2763.43,473104.35
2034-06-01,206,284127.18,3292.06,523.58,202290.6,2768.47,475872.82
2034-07-01,207,281353.66,3292.06,518.53,202809.14,2773.52,478646.34
2034-08-01,208,278575.07,3292.06,513.47,203322.61,2778.59,481424.93
2034-09-01,209,275791.42,3292.06,508.4,203831.01,2783.66,484208.58
2034-10-01,210,273002.68,3292.06,503.32,204334.32,2788.74,486997.32
2034-11-01,211,270208.86,3292.06,498.23,204832.55,2793.83,489791.14
2034-12-01,212,267409.93,3292.06,493.13,205325.69,2798.92,492590.07
2035-01-01,213,264605.9,3292.06,488.02,205813.71,2804.03,495394.1
2035-02-01,214,261796.75,3292.06,482.91,206296.61,2809.15,498203.25
2035-03-01,215,258982.47,3292.06,477.78,206774.39,2814.28,501017.53
2035-04-01,216,256163.06,3292.06,472.64,207247.04,2819.41,503836.94
2035-05-01,217,253338.5,3292.06,467.5,207714.53,2824.56,506661.5
2035-06-01,218,250508.79,3292.06,462.34,208176.88,2829.71,509491.21
2035-07-01,219,247673.91,3292.06,457.18,208634.06,2834.88,512326.09
2035-08-01,220,244833.86,3292.06,452.0,209086.06,2840.05,515166.14
2035-09-01,221,241988.63,3292.06,446.82,209532.88,2845.23,518011.37
2035-10-01,222,239138.2,3292.06,441.63,209974.51,2850.43,520861.8
2035-11-01,223,236282.58,3292.06,436.43,210410.94,2855.63,523717.42
2035-12-01,224,233421.74,3292.06,431.22,210842.15,2860.84,526578.26
2036-01-01,225,230555.68,3292.06,425.99,211268.15,2866.06,529444.32
2036-02-01,226,227684.38,3292.06,420.76,211688.91,2871.29,532315.62
2036-03-01,227,224807.85,3292.06,415.52,212104.44,2876.53,535192.15
2036-04-01,228,221926.07,3292.06,410.27,212514.71,2881.78,538073.93
2036-05-01,229,219039.03,3292.06,405.02,212919.73,2887.04,540960.97
2036-06-01,230,216146.72,3292.06,399.75,213319.47,2892.31,543853.28
2036-07-01,231,213249.13,3292.06,394.47,213713.94,2897.59,546750.87
2036-08-01,232,210346.26,3292.06,389.18,214103.12,2902.88,549653.74
2036-09-01,233,207438.08,3292.06,383.88,214487.0,2908.17,552561.92
2036-10-01,234,204524.6,3292.06,378.57,214865.58,2913.48,555475.4
2036-11-01,235,201605.81,3292.06,373.26,215238.83,2918.8,558394.19
2036-12-01,236,198681.68,3292.06,367.93,215606.76,2924.12,561318.32
2037-01-01,237,195752.22,3292.06,362.59,215969.36,2929.46,564247.78
2037-02-01,238,192817.41,3292.06,357.25,216326.61,2934.81,567182.59
2037-03-01,239,189877.25,3292.06,351.89,216678.5,2940.16,570122.75
2037-04-01,240,186931.72,3292.06,346.53,217025.02,2945.53,573068.28
2037-05-01,241,183980.81,3292.06,341.15,217366.17,2950.91,576019.19
2037-06-01,242,181024.52,3292.06,335.76,217701.94,2956.29,578975.48
2037-07-01,243,178062.84,3292.06,330.37,218032.31,2961.69,581937.16
2037-08-01,244,175095.75,3292.06,324.96,218357.27,2967.09,584904.25
2037-09-01,245,172123.24,3292.06,319.55,218676.82,2972.51,587876.76
2037-10-01,246,169145.31,3292.06,314.12,218990.95,2977.93,590854.69
2037-11-01,247,166161.95,3292.06,308.69,219299.64,2983.37,593838.05
2037-12-01,248,163173.14,3292.06,303.25,219602.88,2988.81,596826.86
2038-01-01,249,160178.87,3292.06,297.79,219900.68,2994.26,599821.13
2038-02-01,250,157179.14,3292.06,292.33,220193.0,2999.73,602820.86
2038-03-01,251,154173.94,3292.06,286.85,220479.85,3005.2,605826.06
2038-04-01,252,151163.25,3292.06,281.37,220761.22,3010.69,608836.75
2038-05-01,253,148147.07,3292.06,275.87,221037.09,3016.18,611852.93
2038-06-01,254,145125.38,3292.06,270.37,221307.46,3021.69,614874.62
2038-07-01,255,142098.18,3292.06,264.85,221572.32,3027.2,617901.82
2038-08-01,256,139065.45,3292.06,259.33,221831.65,3032.73,620934.55
2038-09-01,257,136027.19,3292.06,253.79,222085.44,3038.26,623972.81
2038-10-01,258,132983.39,3292.06,248.25,222333.69,3043.81,627016.61
2038-11-01,259,129934.03,3292.06,242.69,222576.38,3049.36,630065.97
2038-12-01,260,126879.1,3292.06,237.13,222813.51,3054.93,633120.9
2039-01-01,261,123818.6,3292.06,231.55,223045.07,3060.5,636181.4
2039-02-01,262,120752.51,3292.06,225.97,223271.04,3066.09,639247.49
2039-03-01,263,117680.83,3292.06,220.37,223491.41,3071.68,642319.17
2039-04-01,264,114603.54,3292.06,214.77,223706.18,3077.29,645396.46
2039-05-01,265,111520.64,3292.06,209.15,223915.33,3082.9,648479.36
2039-06-01,266,108432.11,3292.06,203.53,224118.85,3088.53,651567.89
2039-07-01,267,105337.94,3292.06,197.89,224316.74,3094.17,654662.06
2039-08-01,268,102238.13,3292.06,192.24,224508.99,3099.81,657761.87
2039-09-01,269,99132.66,3292.06,186.58,224695.57,3105.47,660867.34
2039-10-01,270,96021.52,3292.06,180.92,224876.49,3111.14,663978.48
2039-11-01,271,92904.7,3292.06,175.24,225051.73,3116.82,667095.3
2039-12-01,272,89782.2,3292.06,169.55,225221.28,3122.5,670217.8
2040-01-01,273,86653.99,3292.06,163.85,225385.13,3128.2,673346.01
2040-02-01,274,83520.08,3292.06,158.14,225543.27,3133.91,676479.92
2040-03-01,275,80380.45,3292.06,152.42,225695.7,3139.63,679619.55
2040-04-01,276,77235.09,3292.06,146.69,225842.39,3145.36,682764.91
2040-05-01,277,74083.99,3292.06,140.95,225983.35,3151.1,685916.01
2040-06-01,278,70927.14,3292.06,135.2,226118.55,3156.85,689072.86
2040-07-01,279,67764.52,3292.06,129.44,226247.99,3162.61,692235.48
2040-08-01,280,64596.14,3292.06,123.67,226371.66,3168.39,695403.86
2040-09-01,281,61421.97,3292.06,117.89,226489.55,3174.17,698578.03
2040-10-01,282,58242.01,3292.06,112.1,226601.64,3179.96,701757.99
2040-11-01,283,55056.25,3292.06,106.29,226707.94,3185.76,704943.75
2040-12-01,284,51864.67,3292.06,100.48,226808.41,3191.58,708135.33
2041-01-01,285,48667.27,3292.06,94.65,226903.07,3197.4,711332.73
2041-02-01,286,45464.03,3292.06,88.82,226991.88,3203.24,714535.97
2041-03-01,287,42254.95,3292.06,82.97,227074.86,3209.08,717745.05
2041-04-01,288,39040.01,3292.06,77.12,227151.97,3214.94,720959.99
2041-05-01,289,35819.2,3292.06,71.25,227223.22,3220.81,724180.8
2041-06-01,290,32592.51,3292.06,65.37,227288.59,3226.69,727407.49
2041-07-01,291,29359.94,3292.06,59.48,227348.07,3232.57,730640.06
2041-08-01,292,26121.46,3292.06,53.58,227401.65,3238.47,733878.54
2041-09-01,293,22877.08,3292.06,47.67,227449.32,3244.38,737122.92
2041-10-01,294,19626.78,3292.06,41.75,227491.08,3250.3,740373.22
2041-11-01,295,16370.54,3292.06,35.82,227526.89,3256.24,743629.46
2041-12-01,296,13108.36,3292.06,29.88,227556.77,3262.18,746891.64
2042-01-01,297,9840.23,3292.06,23.92,227580.69,3268.13,750159.77
2042-02-01,298,6566.13,3292.06,17.96,227598.65,3274.1,753433.87
2042-03-01,299,3286.06,3292.06,11.98,227610.63,3280.07,756713.94
2042-04-01,300,0.0,3292.06,6.0,227616.63,3286.06,760000.0
